"Step","FFNN Traffic Generation 9April Third - loss","FFNN Traffic Generation 9April Third - loss__MIN","FFNN Traffic Generation 9April Third - loss__MAX"
"0","0.3968678677964742","0.3968678677964742","0.3968678677964742"
"1","0.19062657803771602","0.19062657803771602","0.19062657803771602"
"2","0.11659202301151055","0.11659202301151055","0.11659202301151055"
"3","0.08488458245518102","0.08488458245518102","0.08488458245518102"
"4","0.0630849443589616","0.0630849443589616","0.0630849443589616"
"5","0.05370713942713893","0.05370713942713893","0.05370713942713893"
"6","0.05098484854501595","0.05098484854501595","0.05098484854501595"
"7","0.047037464890563804","0.047037464890563804","0.047037464890563804"
"8","0.045050959982227086","0.045050959982227086","0.045050959982227086"
"9","0.042243255840638164","0.042243255840638164","0.042243255840638164"
