"Step","FFNN Traffic Generation 10April Fifth - loss","FFNN Traffic Generation 10April Fifth - loss__MIN","FFNN Traffic Generation 10April Fifth - loss__MAX"
"0","0.5372299519219216","0.5372299519219216","0.5372299519219216"
"1","0.386454447249698","0.386454447249698","0.386454447249698"
"2","0.3331433946539642","0.3331433946539642","0.3331433946539642"
"3","0.29881827718323206","0.29881827718323206","0.29881827718323206"
"4","0.2700216633736328","0.2700216633736328","0.2700216633736328"
"5","0.24397269935364935","0.24397269935364935","0.24397269935364935"
"6","0.22165899886304785","0.22165899886304785","0.22165899886304785"
"7","0.2033975006549791","0.2033975006549791","0.2033975006549791"
"8","0.18704506304043872","0.18704506304043872","0.18704506304043872"
"9","0.17603908523110448","0.17603908523110448","0.17603908523110448"
