"Step","FFNN Traffic Generation 10April Sixth - loss","FFNN Traffic Generation 10April Sixth - loss__MIN","FFNN Traffic Generation 10April Sixth - loss__MAX"
"0","0.5724467479024723","0.5724467479024723","0.5724467479024723"
"1","0.4496170525812799","0.4496170525812799","0.4496170525812799"
"2","0.36896448606138776","0.36896448606138776","0.36896448606138776"
"3","0.3185711713733187","0.3185711713733187","0.3185711713733187"
"4","0.2774630862341565","0.2774630862341565","0.2774630862341565"
"5","0.2414175475811123","0.2414175475811123","0.2414175475811123"
"6","0.21056268994168492","0.21056268994168492","0.21056268994168492"
"7","0.18565585788125824","0.18565585788125824","0.18565585788125824"
"8","0.16491282030133306","0.16491282030133306","0.16491282030133306"
"9","0.14755687159100536","0.14755687159100536","0.14755687159100536"
