"Step","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)__MIN","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)__MAX","YOLOV11 Single Class Train 5 November - metrics/mAP50-95(B)","YOLOV11 Single Class Train 5 November - metrics/mAP50-95(B)__MIN","YOLOV11 Single Class Train 5 November - metrics/mAP50-95(B)__MAX"
"1","0.33861","0.33861","0.33861","0.12811","0.12811","0.12811"
"2","0.37021","0.37021","0.37021","0.1421","0.1421","0.1421"
"3","0.35175","0.35175","0.35175","0.18429","0.18429","0.18429"
"4","0.32522","0.32522","0.32522","0.26948","0.26948","0.26948"
"5","0.38766","0.38766","0.38766","0.22849","0.22849","0.22849"
"6","0.4022","0.4022","0.4022","0.27794","0.27794","0.27794"
"7","0.41307","0.41307","0.41307","0.30281","0.30281","0.30281"
"8","0.40087","0.40087","0.40087","0.30744","0.30744","0.30744"
"9","0.43783","0.43783","0.43783","0.32525","0.32525","0.32525"
"10","0.4296","0.4296","0.4296","0.31709","0.31709","0.31709"
"11","0.42227","0.42227","0.42227","0.3229","0.3229","0.3229"
"12","0.43558","0.43558","0.43558","0.34194","0.34194","0.34194"
"13","0.42085","0.42085","0.42085","0.34724","0.34724","0.34724"
"14","0.45489","0.45489","0.45489","0.34866","0.34866","0.34866"
"15","0.45341","0.45341","0.45341","0.34044","0.34044","0.34044"
"16","0.44635","0.44635","0.44635","0.35515","0.35515","0.35515"
"17","0.45139","0.45139","0.45139","0.3703","0.3703","0.3703"
"18","0.45853","0.45853","0.45853","0.34632","0.34632","0.34632"
"19","0.45194","0.45194","0.45194","0.36576","0.36576","0.36576"
"20","0.46158","0.46158","0.46158","0.36806","0.36806","0.36806"
"21","0.46947","0.46947","0.46947","0.37349","0.37349","0.37349"
"22","0.46149","0.46149","0.46149","0.37759","0.37759","0.37759"
"23","0.47171","0.47171","0.47171","0.37726","0.37726","0.37726"
"24","0.46326","0.46326","0.46326","0.37018","0.37018","0.37018"
"25","0.46088","0.46088","0.46088","0.37119","0.37119","0.37119"
"26","0.47664","0.47664","0.47664","0.37883","0.37883","0.37883"
"27","0.46258","0.46258","0.46258","0.3745","0.3745","0.3745"
"28","0.4732","0.4732","0.4732","0.38297","0.38297","0.38297"
"29","0.48173","0.48173","0.48173","0.37908","0.37908","0.37908"
"30","0.48411","0.48411","0.48411","0.38327","0.38327","0.38327"
"31","0.48501","0.48501","0.48501","0.39318","0.39318","0.39318"
"32","0.48402","0.48402","0.48402","0.38368","0.38368","0.38368"
"33","0.48247","0.48247","0.48247","0.38471","0.38471","0.38471"
"34","0.48299","0.48299","0.48299","0.38814","0.38814","0.38814"
"35","0.49074","0.49074","0.49074","0.38755","0.38755","0.38755"
"36","0.49057","0.49057","0.49057","0.38562","0.38562","0.38562"
"37","0.48862","0.48862","0.48862","0.39532","0.39532","0.39532"
"38","0.49035","0.49035","0.49035","0.38598","0.38598","0.38598"
"39","0.49049","0.49049","0.49049","0.39812","0.39812","0.39812"
"40","0.48648","0.48648","0.48648","0.39157","0.39157","0.39157"
"41","0.4939","0.4939","0.4939","0.39431","0.39431","0.39431"
"42","0.49546","0.49546","0.49546","0.39498","0.39498","0.39498"
"43","0.49368","0.49368","0.49368","0.39299","0.39299","0.39299"
"44","0.49569","0.49569","0.49569","0.39461","0.39461","0.39461"
"45","0.49615","0.49615","0.49615","0.39457","0.39457","0.39457"
"46","0.49304","0.49304","0.49304","0.39297","0.39297","0.39297"
"47","0.49064","0.49064","0.49064","0.39495","0.39495","0.39495"
"48","0.49458","0.49458","0.49458","0.39414","0.39414","0.39414"
"49","0.49247","0.49247","0.49247","0.39502","0.39502","0.39502"
"50","0.49544","0.49544","0.49544","0.3980925336070571","0.3980925336070571","0.3980925336070571"
"51","0.49714","0.49714","0.49714","","",""
"52","0.49617","0.49617","0.49617","","",""
"53","0.49659","0.49659","0.49659","","",""
"54","0.49684","0.49684","0.49684","","",""
"55","0.49973","0.49973","0.49973","","",""
"56","0.49886","0.49886","0.49886","","",""
"57","0.49984","0.49984","0.49984","","",""
"58","0.50047","0.50047","0.50047","","",""
"59","0.49764","0.49764","0.49764","","",""
"60","0.49789","0.49789","0.49789","","",""
"61","0.49774","0.49774","0.49774","","",""
"62","0.49867","0.49867","0.49867","","",""
"63","0.49903","0.49903","0.49903","","",""
"64","0.50073","0.50073","0.50073","","",""
"65","0.5011","0.5011","0.5011","","",""
"66","0.50024","0.50024","0.50024","","",""
"67","0.50048","0.50048","0.50048","","",""
"68","0.50063","0.50063","0.50063","","",""
"69","0.50032","0.50032","0.50032","","",""
"70","0.50041","0.50041","0.50041","","",""
"71","0.49997","0.49997","0.49997","","",""
"72","0.50057","0.50057","0.50057","","",""
"73","0.50081","0.50081","0.50081","","",""
"74","0.50053","0.50053","0.50053","","",""
"75","0.5011507148761912","0.5011507148761912","0.5011507148761912","","",""
